time,ax,ay,az,atotal
0.012369871139526367,-0.52,1.08,0.13,1.2
0.023749828338623047,-0.57,1.06,0.44,1.28
0.029297828674316406,-0.66,1.01,0.6,1.34
0.03921389579772949,-0.63,0.93,0.79,1.37
0.04924201965332031,-0.56,0.73,1.14,1.46
0.059500694274902344,-0.49,0.41,1.59,1.71
0.07372570037841797,-0.45,0.32,2.08,2.15
0.07958173751831055,-0.61,0.71,2.52,2.68
0.08956789970397949,-0.62,1.1,2.56,2.85
0.09966373443603516,-0.29,1.28,2.16,2.52
0.10976386070251465,0.12,1.33,1.78,2.22
0.12356901168823242,0.35,1.23,1.61,2.05
0.12990784645080566,0.46,1.06,1.93,2.24
0.13997888565063477,0.54,0.68,2.47,2.61
0.15099477767944336,0.55,0.18,2.86,2.91
0.1599569320678711,0.48,-0.33,2.83,2.88
0.17360591888427734,0.31,-0.84,2.83,2.96
0.18016290664672852,0.34,-1.42,2.97,3.3
0.19036293029785156,0.38,-1.75,3.02,3.51
0.20098495483398438,0.45,-1.82,2.8,3.36
0.21058368682861328,0.55,-1.57,2.1,2.67
0.22468781471252441,0.6,-1.13,1.05,1.65
0.23054289817810059,0.76,-0.69,0.15,1.03
0.24084782600402832,0.84,-0.27,-0.69,1.12
0.25102996826171875,0.91,-0.02,-1.37,1.64
0.2609100341796875,0.88,0.03,-1.52,1.75
0.2750728130340576,0.73,-0.11,-1.22,1.42
0.2808399200439453,0.65,-0.28,-0.75,1.03
0.29117393493652344,0.57,-0.59,-0.42,0.92
0.30109071731567383,0.35,-0.96,-0.25,1.05
0.31113576889038086,0.16,-1.29,-0.18,1.31
0.32540273666381836,-0.03,-1.51,-0.07,1.51
0.3312218189239502,-0.17,-1.59,0.02,1.59
0.34139394760131836,-0.27,-1.5,-0.02,1.52
0.35126495361328125,-0.3,-1.26,-0.37,1.34
0.36154890060424805,-0.29,-0.95,-1.03,1.43
0.37488698959350586,-0.26,-0.63,-1.74,1.86
0.3814659118652344,-0.23,-0.42,-2.25,2.3
0.39177584648132324,-0.18,-0.25,-2.56,2.57
0.40163278579711914,-0.06,-0.16,-2.82,2.82
0.4119079113006592,-0.05,-0.11,-2.99,2.99
0.4249739646911621,-0.01,-0.1,-3.0,3.0
0.43178796768188477,-0.04,-0.11,-2.93,2.93
0.4421377182006836,0.08,-0.08,-2.77,2.77
0.45194196701049805,0.16,-0.02,-2.5,2.5
0.4622459411621094,0.27,0.0,-2.22,2.23
0.47483181953430176,0.32,0.06,-1.99,2.01
0.4820258617401123,0.37,0.1,-1.8,1.84
0.49217891693115234,0.4,0.14,-1.51,1.56
0.5022377967834473,0.42,0.19,-1.16,1.24
0.512481689453125,0.47,0.29,-0.83,0.99
0.5246047973632812,0.48,0.4,-0.57,0.84
0.5324296951293945,0.44,0.48,-0.44,0.78
0.5425748825073242,0.36,0.56,-0.35,0.75
0.5525579452514648,0.31,0.7,-0.17,0.78
0.5628290176391602,0.28,0.83,0.04,0.87
0.5746188163757324,0.29,0.98,0.2,1.04
0.5828638076782227,0.3,1.11,0.28,1.18
0.5928387641906738,0.29,1.24,0.35,1.32
0.602855920791626,0.24,1.33,0.37,1.4
0.6131508350372314,0.2,1.33,0.47,1.42
0.6238217353820801,0.19,1.26,0.76,1.48
0.6330668926239014,0.13,1.11,1.15,1.6
0.6432099342346191,0.19,0.83,1.47,1.69
0.6531248092651367,0.26,0.55,1.9,1.99
0.6634650230407715,0.34,0.2,2.33,2.36
0.674569845199585,0.26,-0.01,2.74,2.75
0.6840929985046387,-0.02,0.25,3.03,3.04
0.6935667991638184,-0.39,0.97,3.01,3.18
0.7036800384521484,-0.85,1.75,2.56,3.21
0.7138867378234863,-1.05,2.09,1.82,2.96
0.7247319221496582,-1.17,2.05,1.2,2.64
0.7340958118438721,-1.07,1.72,1.14,2.32
0.7439846992492676,-0.61,0.97,1.77,2.1
0.754112720489502,-0.03,-0.07,2.67,2.67
0.7640938758850098,0.4,-1.15,3.3,3.51
0.7745528221130371,0.42,-1.91,3.56,4.06
0.7841277122497559,0.1,-2.13,3.56,4.14
0.7941679954528809,-0.36,-2.0,3.06,3.67
0.8044838905334473,-0.86,-1.6,2.06,2.74
0.8144397735595703,-1.15,-1.24,0.79,1.86
0.8256309032440186,-1.13,-0.99,-0.03,1.5
0.8343310356140137,-0.88,-0.91,-0.26,1.29
0.8444788455963135,-0.77,-0.88,-0.12,1.17
0.8547587394714355,-0.79,-0.82,0.13,1.14
0.8647537231445312,-0.75,-0.78,0.16,1.09
0.8760368824005127,-0.68,-0.75,-0.05,1.01
0.884652853012085,-0.61,-0.78,-0.43,1.07
0.8947629928588867,-0.42,-0.91,-0.74,1.24
0.9048967361450195,-0.13,-0.97,-0.85,1.29
0.9148859977722168,0.16,-1.01,-0.97,1.4
0.9251198768615723,0.37,-1.05,-1.21,1.64
0.9349207878112793,0.53,-1.03,-1.62,1.99
0.9452488422393799,0.71,-0.95,-1.86,2.2
0.9554266929626465,0.8,-0.8,-2.11,2.39
0.9654669761657715,0.78,-0.63,-2.47,2.66
0.9767649173736572,0.71,-0.4,-2.89,3.0
0.9852609634399414,0.51,-0.27,-3.3,3.35
0.9954688549041748,0.27,-0.23,-3.43,3.44
1.0057368278503418,0.05,-0.2,-3.32,3.32
1.0158147811889648,-0.03,-0.19,-3.05,3.05
1.0268218517303467,-0.11,-0.22,-2.69,2.7
1.0357170104980469,-0.15,-0.23,-2.27,2.28
1.0457777976989746,-0.13,-0.19,-1.92,1.93
1.0560717582702637,-0.07,-0.07,-1.71,1.71
1.0659818649291992,-0.06,0.02,-1.51,1.51
1.0766639709472656,-0.09,0.04,-1.13,1.13
1.085756778717041,-0.09,0.05,-0.72,0.72
1.0961217880249023,-0.08,0.14,-0.37,0.4
1.1063499450683594,-0.08,0.3,-0.15,0.34
1.1162447929382324,-0.11,0.52,-0.12,0.54
1.1266348361968994,-0.11,0.73,-0.22,0.77
1.1362190246582031,-0.1,0.88,-0.33,0.94
1.1464529037475586,-0.12,1.0,-0.27,1.04
1.1566708087921143,-0.05,1.1,-0.04,1.1
1.167557716369629,0.02,1.18,0.24,1.2
1.1768748760223389,0.0,1.25,0.43,1.32
1.1923859119415283,-0.03,1.3,0.59,1.42
1.196833848953247,-0.05,1.32,0.74,1.51
1.2069048881530762,-0.05,1.28,0.9,1.56
1.2175970077514648,-0.07,1.1,1.13,1.57
1.2271418571472168,-0.18,0.8,1.66,1.85
1.242581844329834,-0.2,0.46,2.42,2.47
1.2471027374267578,-0.2,0.41,3.08,3.11
1.2572789192199707,-0.53,0.95,3.62,3.77
1.267770767211914,-0.52,1.5,3.57,3.9
1.2774786949157715,-0.12,1.73,2.92,3.39
1.2929248809814453,0.14,1.82,2.25,2.89
1.2975640296936035,0.08,1.92,2.16,2.89
1.3075799942016602,0.08,1.63,2.73,3.18
1.3174278736114502,0.11,1.02,3.26,3.41
1.3277950286865234,0.19,0.25,3.34,3.35
1.3419499397277832,0.28,-0.56,3.18,3.24
1.3476829528808594,0.36,-1.58,3.3,3.67
1.3577508926391602,0.44,-2.41,3.6,4.35
1.3678028583526611,0.67,-2.63,3.56,4.47
1.3781378269195557,0.86,-2.52,2.81,3.87
1.3924717903137207,0.86,-2.16,1.29,2.65
1.3981168270111084,0.79,-1.58,-0.22,1.78
1.408308982849121,0.76,-0.96,-1.14,1.67
1.4182720184326172,0.77,-0.56,-1.78,2.01
1.4285187721252441,0.76,-0.34,-2.13,2.28
1.4419527053833008,0.59,-0.29,-2.29,2.38
1.4484429359436035,0.47,-0.43,-2.15,2.24
1.4584949016571045,0.47,-0.63,-1.7,1.87
1.4683690071105957,0.38,-1.0,-1.29,1.67
1.478827953338623,0.3,-1.46,-0.89,1.73
1.4917078018188477,0.33,-1.83,-0.48,1.92
1.4986658096313477,0.33,-2.0,-0.16,2.03
1.5088448524475098,0.23,-1.97,-0.09,1.98
1.5188469886779785,0.11,-1.81,-0.23,1.82
1.529125690460205,0.03,-1.46,-0.55,1.56
1.542449951171875,-0.06,-1.05,-1.05,1.48
1.5490307807922363,-0.11,-0.65,-1.65,1.77
1.5592889785766602,-0.14,-0.31,-2.26,2.28
1.5692329406738281,-0.19,-0.08,-2.8,2.8
1.5794458389282227,-0.23,0.03,-3.15,3.15
1.5920178890228271,-0.14,0.16,-3.27,3.27
1.599423885345459,-0.08,0.17,-3.28,3.28
1.6096749305725098,-0.14,0.09,-3.16,3.16
1.6196908950805664,-0.1,0.05,-2.9,2.9
1.629762887954712,0.02,0.04,-2.51,2.51
1.6421008110046387,0.16,0.03,-2.13,2.13
1.6496977806091309,0.3,0.04,-1.8,1.82
1.659904956817627,0.35,0.08,-1.51,1.55
1.669853687286377,0.43,0.17,-1.14,1.23
1.6800389289855957,0.49,0.22,-0.76,0.93
1.693025827407837,0.54,0.25,-0.36,0.69
1.7007946968078613,0.54,0.31,0.01,0.62
1.7102928161621094,0.48,0.37,0.26,0.65
1.7201800346374512,0.32,0.48,0.45,0.73
1.7303059101104736,0.19,0.61,0.55,0.84
1.7422778606414795,0.03,0.75,0.58,0.94
1.7508087158203125,-0.1,0.97,0.54,1.11
1.7605628967285156,-0.2,1.21,0.43,1.29
1.7705078125,-0.23,1.41,0.31,1.46
1.7806618213653564,-0.24,1.52,0.25,1.55
1.7926688194274902,-0.21,1.58,0.3,1.62
