time,ax,ay,az,atotal
0.008198261260986328,0.06,0.03,0.06,0.09
0.01799297332763672,-0.01,0.07,-0.01,0.07
0.02829599380493164,-0.02,0.12,-0.06,0.13
0.04292917251586914,-0.02,0.1,-0.1,0.14
0.048330068588256836,-0.06,0.09,-0.1,0.14
0.05847597122192383,-0.08,0.09,-0.1,0.15
0.06838703155517578,-0.03,0.08,-0.04,0.09
0.07862520217895508,-0.01,0.02,0.01,0.02
0.09328007698059082,0.04,0.01,0.04,0.05
0.0986790657043457,0.05,0.0,0.1,0.11
0.10907316207885742,0.02,-0.04,0.12,0.12
0.11864519119262695,0.03,-0.06,0.1,0.12
0.12890625,0.04,-0.03,0.08,0.09
0.14282608032226562,0.03,-0.01,0.09,0.09
0.14905405044555664,0.0,0.02,0.08,0.08
0.15913820266723633,0.01,0.02,0.07,0.07
0.16907691955566406,0.0,0.02,0.04,0.04
0.17943716049194336,0.01,0.05,0.0,0.05
0.19372224807739258,0.04,0.05,0.01,0.06
0.19941425323486328,0.04,0.0,0.02,0.04
0.20959210395812988,0.07,-0.01,0.06,0.09
0.21931791305541992,0.08,-0.01,0.08,0.11
0.22945022583007812,0.05,0.01,0.06,0.07
0.24418401718139648,0.08,-0.01,0.08,0.11
0.24973607063293457,0.1,-0.01,0.1,0.14
0.2595341205596924,0.09,-0.01,0.08,0.12
0.2697749137878418,0.11,0.02,0.03,0.11
0.2797999382019043,0.07,0.03,0.01,0.07
0.29174304008483887,0.05,0.03,0.02,0.06
0.3005561828613281,0.04,0.04,0.05,0.07
0.3099660873413086,0.0,0.03,0.05,0.05
0.32029008865356445,0.02,0.04,0.03,0.05
0.33019018173217773,0.06,0.03,0.03,0.07
0.34116506576538086,0.05,0.0,0.07,0.08
0.350862979888916,0.07,-0.02,0.08,0.1
0.36026620864868164,0.07,-0.02,0.13,0.14
0.37047290802001953,0.03,-0.03,0.13,0.13
0.38033103942871094,0.0,-0.01,0.11,0.11
0.3916010856628418,-0.01,0.0,0.09,0.09
0.4005451202392578,-0.02,0.02,0.08,0.08
0.4105820655822754,-0.01,0.05,0.04,0.06
0.4206719398498535,0.0,0.06,-0.03,0.06
0.4306502342224121,0.0,0.07,-0.03,0.07
0.4410881996154785,0.02,0.07,-0.05,0.08
0.4510049819946289,0.02,0.04,-0.06,0.07
0.4609489440917969,0.03,0.03,-0.01,0.04
0.47110891342163086,0.03,-0.02,0.07,0.07
0.4809842109680176,0.02,-0.03,0.12,0.12
0.4915599822998047,0.0,-0.02,0.14,0.14
0.5011141300201416,-0.03,-0.04,0.12,0.13
0.5112709999084473,-0.09,-0.06,0.1,0.14
0.5214090347290039,-0.07,-0.02,0.12,0.14
0.53131103515625,-0.05,0.01,0.14,0.14
0.5416300296783447,-0.03,0.02,0.09,0.09
0.5519309043884277,-0.02,0.03,0.02,0.04
0.5616941452026367,-0.02,0.03,-0.01,0.03
0.5717520713806152,0.0,0.04,0.02,0.04
0.581773042678833,0.02,0.02,0.01,0.03
0.5920429229736328,0.02,0.0,0.07,0.07
0.6016921997070312,0.02,0.01,0.07,0.07
0.611976146697998,0.03,0.0,0.02,0.03
0.6222240924835205,0.04,-0.02,0.05,0.06
0.632087230682373,0.03,-0.05,0.13,0.14
0.6421730518341064,0.03,-0.05,0.15,0.16
0.6527221202850342,0.01,-0.05,0.13,0.13
0.6622991561889648,0.02,-0.02,0.1,0.1
0.6724591255187988,0.03,0.02,0.07,0.07
0.6821780204772949,0.01,0.04,0.05,0.06
0.6925220489501953,-0.01,0.05,-0.03,0.05
0.7024500370025635,-0.03,0.07,-0.05,0.09
0.7126049995422363,-0.02,0.03,-0.01,0.03
0.7228190898895264,-0.04,0.02,0.05,0.06
0.7327251434326172,-0.07,0.01,0.08,0.1
0.7427370548248291,-0.06,-0.03,0.09,0.11
0.7530059814453125,-0.03,-0.02,0.09,0.09
0.7629342079162598,-0.01,-0.01,0.07,0.07
0.7730870246887207,-0.01,0.01,0.08,0.08
0.7830171585083008,0.0,0.05,0.11,0.12
0.7930071353912354,0.0,0.04,0.08,0.08
0.8032169342041016,0.02,0.03,0.06,0.06
0.8130679130554199,0.02,0.03,0.11,0.11
0.8234672546386719,0.0,0.01,0.14,0.14
0.8339519500732422,0.01,0.0,0.17,0.17
0.8439321517944336,0.03,0.0,0.15,0.15
0.8583612442016602,0.02,-0.01,0.1,0.1
0.863368034362793,0.05,-0.01,0.1,0.11
0.8736591339111328,0.1,0.0,0.06,0.11
0.8836789131164551,0.1,0.01,-0.01,0.1
0.8942160606384277,0.06,0.04,-0.04,0.08
0.9078102111816406,0.02,0.07,-0.06,0.09
0.913877010345459,-0.01,0.06,-0.06,0.08
0.9242281913757324,-0.02,0.05,-0.05,0.07
0.9339931011199951,-0.03,0.03,-0.02,0.04
0.9439959526062012,-0.01,-0.02,-0.02,0.03
0.9584431648254395,0.01,-0.05,0.01,0.05
0.9641470909118652,0.01,-0.06,0.09,0.1
0.9745092391967773,0.02,-0.04,0.15,0.15
0.9842839241027832,0.01,-0.03,0.17,0.17
0.9946012496948242,0.0,0.02,0.14,0.14
1.0081291198730469,-0.01,0.05,0.08,0.09
1.0145580768585205,0.0,0.09,0.08,0.12
1.0248420238494873,0.01,0.08,0.05,0.09
1.0346391201019287,0.04,0.07,0.07,0.1
1.0447649955749512,0.07,0.07,0.07,0.12
1.0579750537872314,0.09,0.04,0.04,0.1
1.0649540424346924,0.06,0.01,0.02,0.06
1.075134038925171,0.0,-0.02,0.06,0.06
1.084878921508789,0.0,-0.04,0.09,0.09
1.0950651168823242,0.0,-0.05,0.09,0.1
1.1084721088409424,0.0,-0.04,0.05,0.06
1.1151790618896484,0.02,0.0,0.01,0.02
1.1254160404205322,0.03,0.03,-0.04,0.05
1.1354150772094727,0.01,0.04,-0.07,0.08
1.1454949378967285,-0.01,0.06,-0.02,0.06
1.1595392227172852,0.0,0.06,0.03,0.06
1.165524959564209,0.01,0.05,0.04,0.06
1.1757431030273438,0.0,0.03,0.05,0.05
1.1855340003967285,0.0,0.03,0.11,0.11
