time,ax,ay,az,atotal
0.008180856704711914,-1.32,-1.05,8.51,8.67
0.018234968185424805,-1.38,-0.97,7.36,7.55
0.028183937072753906,-0.74,-0.19,5.81,5.86
0.04135894775390625,0.38,0.72,3.83,3.91
0.0485379695892334,1.43,1.66,1.69,2.76
0.058545827865600586,2.36,2.59,-0.1,3.5
0.0683588981628418,2.91,3.19,-1.59,4.6
0.07851481437683105,2.94,3.23,-2.78,5.17
0.0923619270324707,2.25,2.71,-3.6,5.03
0.0986630916595459,1.04,1.83,-4.34,4.82
0.1086270809173584,-0.11,0.74,-5.05,5.1
0.11887478828430176,-1.07,-0.13,-5.85,5.94
0.1287219524383545,-1.61,-1.29,-6.22,6.55
0.14139294624328613,-2.11,-1.65,-6.04,6.6
0.14893507957458496,-2.28,-2.07,-5.48,6.28
0.1592559814453125,-1.88,-1.56,-4.58,5.19
0.16987299919128418,-0.64,-0.65,-3.53,3.64
0.17912888526916504,0.37,0.08,-2.65,2.67
0.19215607643127441,0.3,0.36,-2.46,2.5
0.19925594329833984,-0.5,0.05,-3.05,3.09
0.2093360424041748,-0.79,-0.86,-3.6,3.78
0.21966910362243652,-0.89,-1.54,-3.41,3.84
0.22958111763000488,-1.17,-1.96,-2.52,3.4
0.24128389358520508,-1.69,-2.62,-1.2,3.34
0.2496039867401123,-2.82,-2.71,0.46,3.93
0.2597768306732178,-4.46,-1.53,2.04,5.13
0.26969289779663086,-5.13,0.17,2.88,5.88
0.2798588275909424,-3.55,1.48,3.02,4.89
0.2921898365020752,-0.51,2.46,3.31,4.15
0.29995179176330566,1.61,3.68,4.08,5.72
0.3099539279937744,3.07,3.89,4.97,7.01
0.3201589584350586,2.95,3.14,5.78,7.2
0.33011388778686523,-0.07,2.29,6.31,6.71
0.34147191047668457,-2.7,0.95,6.43,7.03
0.3505408763885498,-3.45,-0.03,6.45,7.31
0.36063408851623535,-2.62,-0.45,6.4,6.93
0.37053489685058594,-1.78,-0.45,6.08,6.35
0.38057494163513184,-1.6,-0.13,5.58,5.8
0.3923370838165283,-1.43,0.47,4.93,5.15
0.4005110263824463,-0.67,0.98,3.83,4.0
0.4106268882751465,0.22,1.41,2.52,2.89
0.4208528995513916,0.64,1.64,0.98,2.01
0.43093180656433105,0.53,1.34,-0.85,1.67
0.44150280952453613,0.29,0.48,-2.65,2.7
0.450908899307251,0.02,-0.09,-3.87,3.87
0.4611179828643799,0.06,-0.39,-4.37,4.38
0.4711449146270752,0.28,-0.78,-4.29,4.36
0.4810059070587158,0.43,-0.95,-3.82,3.95
0.49156785011291504,0.61,-0.95,-3.39,3.57
0.5011880397796631,0.82,-0.8,-3.24,3.43
0.5114028453826904,1.09,-0.51,-3.48,3.68
0.521446943283081,1.52,-0.28,-3.98,4.26
0.531512975692749,2.06,-0.19,-4.51,4.96
0.541815996170044,2.45,-0.25,-4.79,5.38
0.5515148639678955,2.41,-0.42,-4.91,5.48
0.561682939529419,2.41,-0.82,-4.86,5.48
0.5716431140899658,2.12,-1.24,-4.64,5.24
0.5819129943847656,1.83,-1.95,-4.38,5.13
0.5930430889129639,1.82,-2.77,-3.85,5.08
0.6018798351287842,1.78,-3.31,-2.79,4.68
0.6120049953460693,1.5,-3.25,-1.08,3.73
0.6221449375152588,0.48,-2.44,0.95,2.66
0.6321771144866943,-0.27,-1.42,2.96,3.29
0.6441519260406494,0.9,-0.91,4.53,4.7
0.6523878574371338,2.75,-0.2,5.67,6.3
0.6624259948730469,3.39,0.88,6.52,7.4
0.6724929809570312,2.89,1.34,6.68,7.4
0.6825478076934814,1.22,1.35,6.6,6.84
0.6950089931488037,-0.67,1.43,6.57,6.75
0.7027218341827393,-1.59,1.32,6.29,6.62
0.7127268314361572,-1.73,1.06,5.42,5.78
0.7228548526763916,-1.75,0.86,4.31,4.73
0.7328298091888428,-1.64,0.68,3.43,3.86
0.7458279132843018,-1.59,0.65,3.01,3.46
0.7529070377349854,-1.66,0.87,3.02,3.55
0.7630419731140137,-1.11,1.28,3.03,3.47
0.7731978893280029,-0.25,1.7,2.4,2.95
0.7832620143890381,0.84,2.06,1.07,2.46
0.797187089920044,1.89,2.18,-0.67,2.96
0.803415060043335,2.64,1.92,-2.37,4.03
0.8133881092071533,3.0,1.55,-3.76,5.05
0.8235249519348145,2.65,1.17,-4.85,5.64
0.8340728282928467,1.66,0.68,-5.73,6.0
0.8436789512634277,0.48,0.03,-6.5,6.51
0.862623929977417,-0.59,-0.6,-7.0,7.05
0.8636400699615479,-1.45,-1.09,-7.07,7.29
0.8738229274749756,-2.17,-1.45,-6.59,7.08
0.8839409351348877,-2.84,-1.65,-5.79,6.65
0.8940529823303223,-3.13,-1.72,-5.0,6.14
0.912451982498169,-3.06,-1.39,-4.37,5.51
0.9139478206634521,-2.91,-0.8,-3.97,4.98
0.9242041110992432,-2.76,-0.45,-3.71,4.64
0.9340579509735107,-2.37,-0.55,-3.38,4.16
0.9443857669830322,-1.96,-0.74,-2.73,3.44
0.9631950855255127,-1.52,-0.97,-1.78,2.53
0.9642999172210693,-0.89,-1.29,-0.54,1.65
0.974585771560669,-0.69,-1.52,0.86,1.87
0.9843869209289551,-1.7,-1.37,2.29,3.16
0.9946200847625732,-3.82,-0.43,3.63,5.28
1.0124027729034424,-4.58,0.44,4.75,6.61
1.0146288871765137,-2.85,1.32,5.85,6.63
